token,m1,m2,m3,m4c,m5c,mlo1_qbtitle,mlo1_qbid,mlo1_qbresp,mlo2_qbtitle,mlo2_qbid,mlo2_qbresp,mlo3_qbtitle,mlo3_qbid,mlo3_qbresp,mlo4_qbtitle,mlo4_qbid,mlo4_qbresp,mlo5_qbtitle,mlo5_qbid,mlo5_qbresp,mlo6_qbtitle,mlo6_qbid,mlo6_qbresp,mlo7_qbtitle,mlo7_qbid,mlo7_qbresp,mod_subjectid,mod_class_id,mod_class_name,mod_transformed,mod_term,mod_evaluation_start_date,mod_evaluation_end_date,mod_ay,mod_sem,mod_rptterm,mod_module_code,mod_activity_code,mod_activity_type,mod_class_no,mod_activity_code_report,mod_rpt_activity_type,mod_module_name,mod_crseid,mod_faculty_code,mod_faculty,mod_dept_code,mod_department,mod_evaluate_class_option,mod_year_long_module,mod_level,mod_rptfaccd,mod_rptfacdesc,mod_dept_average_by_activity,mod_rptdeptavgactivitydesc,mod_dept_average_by_activity_and_level,mod_rptdeptavgactivitylvldesc,mod_faculty_average_by_activity,mod_rptfacavgactivitydesc,mod_faculty_average_by_activity_and_level,mod_rptfacavgactivitylvldesc,mod_isismoddeptcd,mod_isismodfaccd,mod_merge_classid,mod_common_name
17490_1797,5,4,1,Good text 1,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,PR3101,Equity & Trusts (B),,720,,,7,2,720,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17490_1797,5,2,5,Good text 12,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,CS1020E,Constitutional & Administrative Law,,720,,,7,2,720,2064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17490_1797,5,1,5,Good text 4,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,SC2215,Physics for Electrical Engineers,,720,,,7,2,720,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17490_1797,5,3,4,Good text 11,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,BMA5009,Chemical Engineering Process Laboratory III,,720,,,7,2,720,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17490_1797,1,2,2,Good text 9,,,,,,,,,,,,,,,,,,,,,,,,BSP2005,Introduction to Statistics,,720,,,7,2,720,1228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17508_487,5,3,1,Good text 2,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,SSA1201,Macroeconomic Analysis I,,1010,,,10,1,1010,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17508_487,1,5,2,Good text 13,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,DP1001,Mathematics I,,1010,,,10,1,1010,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17508_487,1,3,4,,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,PR2101,Dosage Form Design III,,1010,,,10,1,1010,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17508_487,1,3,1,Good text 9,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,EE4001,German 1,,1010,,,10,1,1010,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17508_487,5,2,3,Good text 4,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,CS1101,Childhood and Youth,,1010,,,10,1,1010,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17508_487,1,5,2,Good text 8,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,SC2101,Immunology,,1010,,,10,1,1010,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17508_487,4,2,4,Good text 6,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,EE2024,Reason and Persuasion,,1010,,,10,1,1010,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17508_487,5,1,3,Good text 3,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,EG1108,Linear Algebra I,,1010,,,10,1,1010,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17514_1080,2,2,1,Good text 8,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,LSM1303,Computer Aided Data Analysis,,1410,,,14,1,1410,12557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17514_1080,4,2,3,Good text 5,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,EC2102,Understanding the Universe,,1410,,,14,1,1410,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17514_1080,2,3,1,Good text 3,,,,,,,,,,,,,,,,,,,,,,,,BMA5013,Terrestrial and Coastal Environments,,1410,,,14,1,1410,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17514_1080,4,3,4,Good text 3,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,LAT1201,Investment Analysis and Portfolio Management,,1410,,,14,1,1410,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17514_1080,2,1,3,Good text 13,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,PC1431,NUS Data Protection & PDPA Guidelines,,1410,,,14,1,1410,2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17514_1080,3,5,5,Good text 5,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,CM1121,Database Systems,,1410,,,14,1,1410,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17514_1080,5,5,3,Good text 9,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,MA1506,Mathematics II,,1410,,,14,1,1410,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17579_1357,2,2,2,Good text 2,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,LSM4243,Enterprise Systems Server-side Design and Development,,1220,,,12,2,1220,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17579_1357,1,3,1,Good text 11,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,GEK1521,Professional Communication,,1220,,,12,2,1220,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17579_1357,4,5,1,Good text 10,Bad text 11,,,,,,,,,,,,,,,,,,,,,,,LSM1103,Principles of Mechanical Eng. Materials,,1220,,,12,2,1220,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17579_1357,3,3,4,Good text 1,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,GEM2900,General and Physical Chemistry for Engineers,,1220,,,12,2,1220,1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17579_1357,3,5,4,Good text 9,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,CFG1010,Engineering Professionalism,,1220,,,12,2,1220,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17579_1357,5,5,3,Good text 2,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,MA2213,Fluid Mechanics,,1220,,,12,2,1220,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17579_1357,5,3,3,Good text 4,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,GEK1510,Physical Pharmacy,,1220,,,12,2,1220,1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17608_35,4,1,4,Good text 10,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,EE2012,Mathematical Analysis I,,1210,,,12,1,1210,1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17608_35,4,4,3,,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,PL1101E,Electrical Engineering,,1210,,,12,1,1210,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17608_35,5,5,4,,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,CN2125,Microbiology,,1210,,,12,1,1210,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17608_35,3,3,1,Good text 10,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,MA1506,Mathematics II,,1210,,,12,1,1210,1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17608_35,5,4,1,Good text 12,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,EE4001,German 1,,1210,,,12,1,1210,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17608_35,2,1,5,Good text 10,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,ME2151,Probability and Statistics,,1210,,,12,1,1210,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17608_35,3,3,4,Good text 13,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,DP1001,Mathematics I,,1210,,,12,1,1210,1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17608_35,4,1,1,Good text 9,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,DP1001,Mathematics I,,1210,,,12,1,1210,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17696_921,2,4,1,Good text 11,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,SC2204,Systems Design Project,,1220,,,12,2,1220,5729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17696_921,1,3,4,Good text 8,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,PR2202,Construction Project Management,,1220,,,12,2,1220,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17696_921,3,4,3,Good text 11,,,,,,,,,,,,,,,,,,,,,,,,BSP2001,Genes and Society,,1220,,,12,2,1220,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17696_921,3,2,2,Good text 3,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,GEK1544,Introduction to Thermodynamics and Optics,,1220,,,12,2,1220,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17696_921,5,1,1,Good text 9,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,EG1112,"Samurai, Geisha, Yakuza as Self or Other",,1220,,,12,2,1220,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17696_921,2,3,4,Good text 3,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,MA1421,Fundamentals of Physics I,,1220,,,12,2,1220,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17696_921,4,3,4,Good text 9,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,CS2100,The Evolution of a Global City-State,,1220,,,12,2,1220,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17702_617,3,1,5,Good text 12,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,CE2184,Engineering Economy,,810,,,8,1,810,14859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17702_617,1,5,2,Good text 12,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,GES1003,Complex Analysis I,,810,,,8,1,810,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17702_617,1,5,2,,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,CS2106,Econometrics I,,810,,,8,1,810,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17702_617,2,2,1,Good text 3,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,PR2202,Construction Project Management,,810,,,8,1,810,1617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17702_617,4,4,5,Good text 9,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,LSM1301,Introduction to Psychology,,810,,,8,1,810,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17702_617,3,3,3,Good text 5,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,GEK1022,Pharmacology 2,,810,,,8,1,810,12838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17702_617,3,4,3,Good text 13,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,BSP1005,Physics IIE,,810,,,8,1,810,1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17702_617,1,3,5,Good text 10,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,CM1101,Process Synthesis and Simulation,,810,,,8,1,810,1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17723_994,4,1,4,Good text 9,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,IE2130E,Systems & Control,,1610,,,16,1,1610,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17723_994,1,1,2,Good text 10,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,LSM1104,Feedback Control Systems,,1610,,,16,1,1610,4733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17723_994,2,1,2,Good text 9,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,CN2122,Chemical Engineering Principles,,1610,,,16,1,1610,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17723_994,5,1,4,Good text 5,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,EG2401,Principles of Economics,,1610,,,16,1,1610,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17723_994,5,5,2,,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,CS1010E,Principles of Marketing,,1610,,,16,1,1610,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17723_994,1,1,3,Good text 2,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,PL3236,French 1,,1610,,,16,1,1610,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17723_994,3,2,2,Good text 5,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,MNO1001,Finance,,1610,,,16,1,1610,2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17725_699,1,3,1,Good text 8,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,EG3602,Retelling Chinese Stories: Change and Continuity,,1110,,,11,1,1110,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17725_699,2,2,3,Good text 11,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,PC1431,NUS Data Protection & PDPA Guidelines,,1110,,,11,1,1110,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17725_699,3,3,3,Good text 7,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,CE2155,The Sociology of Food,,1110,,,11,1,1110,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17725_699,4,1,4,Good text 9,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,PR1101,Health Psychology,,1110,,,11,1,1110,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17725_699,2,1,5,Good text 5,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,GEK1527,Legal Environment Of Business,,1110,,,11,1,1110,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17725_699,3,2,1,Good text 7,,,,,,,,,,,,,,,,,,,,,,,,PL3239,Popular Culture in Singapore,,1110,,,11,1,1110,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17725_699,4,4,5,Good text 10,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,PC1325,Social Thought & Social Theory,,1110,,,11,1,1110,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17725_699,3,2,4,Good text 11,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,MKT1003,Management And Organisation,,1110,,,11,1,1110,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748_1166,1,1,5,Good text 9,,,,,,,,,,,,,,,,,,,,,,,,ACC1006,Personal Development & Career Management,,620,,,6,2,620,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748_1166,4,2,2,Good text 5,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,LC1016,Fundamental Concepts of Mathematics,,620,,,6,2,620,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748_1166,1,3,5,,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,NUR2116,History and Theory of Southeast Asia Architecture,,620,,,6,2,620,1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748_1166,4,3,3,Good text 1,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,ACC2002,Introduction to Economic Analysis,,620,,,6,2,620,15556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748_1166,5,1,1,Good text 6,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,MLE1101,Human Capital in Organizations,,620,,,6,2,620,1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748_1166,5,2,3,Good text 11,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,EC3101,Statistics for Life Sciences,,620,,,6,2,620,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17748_1166,5,5,4,Good text 12,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,CFG1010,Engineering Professionalism,,620,,,6,2,620,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17768_1122,1,2,1,Good text 13,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,CM1401,Business Analytics - Data & Decisions,,920,,,9,2,920,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17768_1122,1,2,5,Good text 1,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,ME2103,Pharmacy Practice III,,920,,,9,2,920,2491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17768_1122,5,2,5,Good text 9,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,MS1102E,University Scholars Seminar,,920,,,9,2,920,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17768_1122,4,5,4,Good text 2,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,SSA2211,Geographical Journeys: Exploring World Environments,,920,,,9,2,920,1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17768_1122,1,2,3,Good text 9,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,LC2009,Inorganic Chemistry 2,,920,,,9,2,920,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17768_1122,5,1,1,Good text 6,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,GEK1055,Principles of Modern Chemistry,,920,,,9,2,920,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17768_1122,3,4,4,Good text 12,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,ACC1002,B.Eng. Dissertation,,920,,,9,2,920,5746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780_1995,4,4,2,Good text 8,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,GEK1055,Principles of Modern Chemistry,,1310,,,13,1,1310,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780_1995,4,2,5,Good text 3,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,MA1100,Leadership and Ethics,,1310,,,13,1,1310,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780_1995,5,2,2,Good text 6,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,GE2228,Labour Law In Singapore,,1310,,,13,1,1310,1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780_1995,5,4,1,Good text 4,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,MD2140,Engineering Calculus,,1310,,,13,1,1310,5121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780_1995,1,5,1,Good text 11,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,LC1006,Fundamentals of Nursing,,1310,,,13,1,1310,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780_1995,5,2,4,Good text 7,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,PC1143,Medical-Surgical Nursing I,,1310,,,13,1,1310,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780_1995,4,3,3,Good text 10,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,ST2334,Foundations for Econometrics,,1310,,,13,1,1310,1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17808_337,2,5,1,Good text 5,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,MD3140,Urban Land Use & Development,,800,,,8,0,800,15556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17808_337,5,5,3,Good text 9,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,EC1101E,Changing Landscapes of Singapore,,800,,,8,0,800,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17808_337,2,1,4,,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,SP1541,Graduate English Course (Advanced Level),,800,,,8,0,800,1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17808_337,5,3,2,Good text 9,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,LC2004,Accounting Information Systems,,800,,,8,0,800,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17808_337,2,5,2,Good text 8,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,NM1101E,Asking Questions,,800,,,8,0,800,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17808_337,4,1,4,Good text 10,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,MKT1003,Management And Organisation,,800,,,8,0,800,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17808_337,5,1,1,Good text 13,Bad text 4,,,,,,,,,,,,,,,,,,,,,,,MA1101R,Making Sense of Society,,800,,,8,0,800,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17808_337,3,1,4,Good text 4,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,PC1431,NUS Data Protection & PDPA Guidelines,,800,,,8,0,800,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17822_338,2,2,4,Good text 13,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,GEK1006,Pro Bono Service,,1430,,,14,3,1430,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17822_338,4,4,3,,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,NM2201,Korean 1,,1430,,,14,3,1430,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17822_338,2,5,4,Good text 8,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,EE2032,New Venture Creation,,1430,,,14,3,1430,1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17822_338,1,2,3,Good text 1,Bad text 9,,,,,,,,,,,,,,,,,,,,,,,PR2101,Dosage Form Design III,,1430,,,14,3,1430,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17822_338,3,5,2,Good text 6,,,,,,,,,,,,,,,,,,,,,,,,EE6999,The Biophysical Environment of Singapore,,1430,,,14,3,1430,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17822_338,2,2,2,Good text 1,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,CM1502,Living with Mathematics,,1430,,,14,3,1430,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17822_338,4,5,3,Good text 11,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,PH1102E,"Legal Analysis, Research & Communication",,1430,,,14,3,1430,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17822_338,3,1,2,Good text 9,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,ST2132,Econometrics II,,1430,,,14,3,1430,8303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17887_553,2,1,5,Good text 2,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,CN2122,Chemical Engineering Principles,,1020,,,10,2,1020,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17887_553,3,3,2,Good text 7,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,MA2213,Fluid Mechanics,,1020,,,10,2,1020,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17887_553,5,5,2,Good text 4,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,DSC2006,Managerial Economics,,1020,,,10,2,1020,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17887_553,3,5,4,Good text 2,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,EE1002,Theory Of Urban Design & Planning,,1020,,,10,2,1020,2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17887_553,2,3,2,Good text 13,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,MA1506,Mathematics II,,1020,,,10,2,1020,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17887_553,5,5,3,Good text 12,Bad text 6,,,,,,,,,,,,,,,,,,,,,,,HY1101E,Microeconomic Analysis II,,1020,,,10,2,1020,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17887_553,5,3,3,Good text 9,Bad text 10,,,,,,,,,,,,,,,,,,,,,,,CS1101C,Business Communication for Leaders (BBA),,1020,,,10,2,1020,1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17887_553,4,3,2,Good text 11,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,CS1010E,Principles of Marketing,,1020,,,10,2,1020,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17939_984,4,1,4,Good text 11,Bad text 7,,,,,,,,,,,,,,,,,,,,,,,MA1101R,Making Sense of Society,,1730,,,17,3,1730,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17939_984,2,3,4,Good text 9,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,,1730,,,17,3,1730,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17939_984,4,5,4,Good text 12,Bad text 5,,,,,,,,,,,,,,,,,,,,,,,CN2125,Microbiology,,1730,,,17,3,1730,5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17939_984,4,4,5,Good text 7,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,GEK2001,Introduction to Electronic Commerce,,1730,,,17,3,1730,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17939_984,4,4,1,Good text 6,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,LAB1201,Introduction to Japanese Studies,,1730,,,17,3,1730,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17939_984,3,5,3,Good text 2,Bad text 8,,,,,,,,,,,,,,,,,,,,,,,SW2104,Organic Chemistry 1,,1730,,,17,3,1730,1281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17939_984,5,1,1,,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,CE2183,The Theatre Experience,,1730,,,17,3,1730,1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794_653,5,4,1,Good text 7,Bad text 13,,,,,,,,,,,,,,,,,,,,,,,CL2280,Computer Architecture,,610,,,6,1,610,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794_653,2,3,4,Good text 10,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,EL1101E,General Biology,,610,,,6,1,610,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794_653,4,2,1,,Bad text 12,,,,,,,,,,,,,,,,,,,,,,,EE2004,Experiments in Chemistry 1,,610,,,6,1,610,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794_653,3,2,3,Good text 12,Bad text 3,,,,,,,,,,,,,,,,,,,,,,,ST2132,Econometrics II,,610,,,6,1,610,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794_653,1,2,3,Good text 5,,,,,,,,,,,,,,,,,,,,,,,,MS1102E,University Scholars Seminar,,610,,,6,1,610,1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794_653,2,3,1,Good text 11,,,,,,,,,,,,,,,,,,,,,,,,PL3234,Industrial Attachment Programme,,610,,,6,1,610,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794_653,2,4,1,Good text 9,Bad text 1,,,,,,,,,,,,,,,,,,,,,,,ME2113,Money and Banking I,,610,,,6,1,610,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794_653,3,5,5,Good text 5,,,,,,,,,,,,,,,,,,,,,,,,ST1131,Calculus,,610,,,6,1,610,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17974_288,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,NM2101,Public Writing and Communication,,510,,,5,1,510,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17974_288,4,4,4,Good text 9,Bad text 2,,,,,,,,,,,,,,,,,,,,,,,GEK1022,Pharmacology 2,,510,,,5,1,510,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
